resource_id,dataset_id,resource_name,description,format,local_path,source_sheet,measure_name,unit,upload_decision
summary-report-1-delivery-counts,nhs-maternity-delivery-trends,"Annual number of deliveries, 2014-15 to 2024-25","Annual number of deliveries in NHS hospitals in England from Hospital Episode Statistics.",CSV,data/processed/nhs_maternity/nhs-maternity-delivery-trends-summary-report-1.csv,Summary report 1,Number of deliveries,count,upload
summary-report-2-delivery-index,nhs-maternity-delivery-trends,"Indexed change in deliveries by age group, 2014-15 to 2024-25","Indexed change in the number of deliveries by maternal age group, where 2014-15 equals 100.",CSV,data/processed/nhs_maternity/nhs-maternity-delivery-trends-summary-report-2.csv,Summary report 2,Index change in number of deliveries,index,upload
summary-report-3-method-of-onset,nhs-maternity-delivery-trends,"Deliveries by method of onset, 2014-15 to 2024-25","Percentage of deliveries with a known method of onset classified as caesarean, spontaneous or induced. Deliveries with an unknown method are excluded; annual percentages may not total exactly 100 because of rounding.",CSV,data/processed/nhs_maternity/nhs-maternity-delivery-trends-summary-report-3.csv,Summary report 3,Percentage of deliveries by method of onset,percent,upload
summary-report-4-anaesthetic-analgesic,nhs-maternity-delivery-care,"Anaesthetic or analgesic use by age group, 2014-15 and 2024-25","Percentage of deliveries involving anaesthetic or analgesic use before or during delivery, by maternal age group. For 2024-25, the source includes 'other' and excludes n/a values.",CSV,data/processed/nhs_maternity/nhs-maternity-delivery-care-summary-report-4.csv,Summary report 4,Percentage of deliveries with anaesthetic or analgesic use,percent,upload
summary-report-5-method-of-delivery,nhs-maternity-delivery-care,"Method of delivery by maternal age group, 2024-25","Percentage of deliveries with a known method of delivery classified as spontaneous, instrumental or caesarean, by maternal age group. Deliveries with an unknown method are excluded; percentages may total 99 to 101 because of rounding.",CSV,data/processed/nhs_maternity/nhs-maternity-delivery-care-summary-report-5.csv,Summary report 5,Percentage of deliveries by method of delivery,percent,upload
summary-report-6-delivery-complications,nhs-maternity-delivery-care,"Most prevalent delivery complications, 2024-25","Five most prevalent delivery complications recorded on finished delivery episodes in NHS hospitals in England, presented by ICD-10 code and percentage of all delivery episodes. A delivery may have no recorded complication or more than one, so percentages must not be summed.",CSV,data/processed/nhs_maternity/nhs-maternity-delivery-care-summary-report-6.csv,Summary report 6,Percentage of delivery episodes with complication,percent,upload
summary-report-7-postnatal-stay,nhs-maternity-delivery-care,"Method of delivery by postnatal stay duration, 2024-25","Percentage distribution of known postnatal-stay durations within each known method of delivery. Postnatal stay is measured from the first baby's birth to the end of the finished delivery episode; durations over 270 days or null are classified as unknown and excluded.",CSV,data/processed/nhs_maternity/nhs-maternity-delivery-care-summary-report-7.csv,Summary report 7,Percentage of deliveries by postnatal stay duration,percent,upload
summary-report-8-recorded-birthweight,nhs-maternity-newborn-characteristics-care,"Recorded baby birthweight, 2024-25","Percentage distribution of deliveries with a recorded baby birthweight across six weight bands. Birthweight is measured immediately after birth and only the first birth record is considered; values above 7000 grams or null are excluded as unknown.",CSV,data/processed/nhs_maternity/nhs-maternity-newborn-characteristics-summary-report-8.csv,Summary report 8,Percentage of deliveries by recorded baby birthweight,percent,upload
summary-report-9-apgar-score,nhs-maternity-newborn-characteristics-care,"Five-minute Apgar score for live-born term babies, 2024-25","Numbers and percentages of distinct live-born term babies by five-minute Apgar score group. Term births have a gestation length of 259 to 315 days. Missing or invalid scores are excluded from percentages; baby counts are rounded to the nearest five and percentages are calculated from rounded counts.",CSV,data/processed/nhs_maternity/nhs-maternity-newborn-characteristics-summary-report-9.csv,Summary report 9,Five-minute Apgar score group for live-born term babies,count_and_percent,upload
summary-report-10-skin-to-skin-contact,nhs-maternity-newborn-characteristics-care,"Skin-to-skin contact within one hour for term babies, 2024-25","Numbers and percentages of distinct term babies by whether they had skin-to-skin contact with their mother within one hour of birth. Term births have a gestation length of 259 to 315 days. Missing or invalid contact status is excluded from percentages; counts are rounded to the nearest five.",CSV,data/processed/nhs_maternity/nhs-maternity-newborn-characteristics-summary-report-10.csv,Summary report 10,Skin-to-skin contact within one hour of birth,count_and_percent,upload
